"Location","lon","lat","state","geometry"
"Sek. Men. Teknik Muar, Muar, Johor",102.5848717,2.0630519,"johor",c(102.5848717, 2.0630519)
"Sek. Men. Teknik Tuanku Jaafar, Ampangan, Seremban",101.9669331,2.7229981,"negeri sembilan",c(101.9669331, 2.7229981)
"Sek. Men. Tinggi Melaka, Melaka",102.2545912,2.1915447,"melaka",c(102.2545912, 2.1915447)
"Sek. Ren. Keb. Bukit Kuang, Teluk Kalung, Kemaman",103.4351102,4.2609059,"terengganu",c(103.4351102, 4.2609059)
"Sek.Men.Keb.Seri Permaisuri, Cheras",101.7259197,3.1068447,"cheras",c(101.7259197, 3.1068447)
"Sekolah Menengah Sains, Kuala Selangor",101.25851,3.32326,"selangor",c(101.25851, 3.32326)
"seremban, negeri sembilan",101.9378239,2.725889,"negeri sembilan",c(101.9378239, 2.725889)
"seri manjung, perak",100.664788,4.195868,"perak",c(100.664788, 4.195868)
"shah alam, selangor",101.518461,3.073281,"selangor",c(101.518461, 3.073281)
"SMA, Bandar Penawar, Kota Tinggi",104.2451393,1.5646399,"johor",c(104.2451393, 1.5646399)
"SMK. Tanah Merah",101.8015293,2.6149564,"kelantan",c(101.8015293, 2.6149564)
"sungai petani, kedah",100.4894179,5.643589,"kedah",c(100.4894179, 5.643589)
"taiping, perak",100.742379,4.8525853,"perak",c(100.742379, 4.8525853)
"Taman Perumahan Majlis Perbandaran Labuan",115.230825,5.2831456,"labuan",c(115.230825, 5.2831456)
"tanah merah, kelantan",102.1470772,5.808887,"kelantan",c(102.1470772, 5.808887)
"tangkak, johor",102.5419882,2.271093,"johor",c(102.5419882, 2.271093)
"tanjung malim, perak",101.52027,3.679539,"perak",c(101.52027, 3.679539)
"tasek ipoh, perak",101.1202978,4.6528554,"perak",c(101.1202978, 4.6528554)
"temerloh, pahang",102.4163482,3.448649,"pahang",c(102.4163482, 3.448649)
"Tmn. Semarak (Phase II), Nilai",101.8123369,2.820637,"negeri sembilan",c(101.8123369, 2.820637)
"Universiti Pendidikan Sultan Idris, Tanjung Malim",101.5248084,3.6854504,"perak",c(101.5248084, 3.6854504)
"Universiti Sains Malaysia, Pulau Pinang",100.3025455,5.3555943,"penang",c(100.3025455, 5.3555943)
